,Model name,precison_multclass_cv,precison_std,recall_multclass_cv,recall_cv,balanced_score_cv,balanced_std,f1_score_cv,f1_std
0,XGBoost Cross_Val,0.608,0.017,0.561,0.003,0.561,0.003,0.582,0.009
0,Lightgbm Cross_Val,0.597,0.035,0.554,0.018,0.554,0.018,0.57,0.024
0,Random forrest Cross_Val,0.602,0.038,0.469,0.026,0.469,0.026,0.517,0.03
0,KNN Cross_Val,0.469,0.034,0.372,0.029,0.372,0.029,0.406,0.023
0,Extra trees Cross_Val,0.555,0.078,0.372,0.013,0.372,0.013,0.415,0.02
0,Linear model Cross_Val,0.426,0.017,0.324,0.011,0.324,0.011,0.353,0.01
